"","X","id","date","Time_today","numberof_Timesattend","Total_membersAttend","Attend_2000","Attend_1999","Event1st_mostimportant","Event2nd_mostimportant","Event3rd_mostimportant","Event4th_mostimportant","Event5th_mostimportant","show_concocrane","show_heatherSmith","show_trooper","show_prairieOyster","show_skarecrow","show_widemouthmason","show_mcMaster&James","show_leahy","show_ritachairelli","show_mollyJohnson","Spent_carnival","Spent_food","Spent_beerwine","Spent_vendoritems","Spent_buckforBands","Spend_moretoday","Ten_admissionattend","AttendingSpent_merchandise","AttendingSpent_food","AttendingSpent_otherpurposes","Town","Total_Householdmembers","Education_Level","Age_range","Occupation","Hosehold_Income2000","Event1st_mostimportant1","Event2nd_mostimportant1","Event3rd_mostimportant1","Event4th_mostimportant1","Event5th_mostimportant1","Spent_Carnival1","Spent_food1","Spent_Beer&Wine1","Spent_Vendors1","Spent_Buck for Bands1","Spend_more1","Spent_Downtownmerch","Spent_Downtownfood","Spent_Downtownother","Ten_admissionattend1","House_members","Age_Range"
"188",190,190,14,1,"One time",1,"No","No",3,2,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,20,30,13,6.4,68,2,69,50,8,"Other",2,"University graduate","T-25-29","L-Managerial position","L-$80,000-$99,999","Stage shows","Carnival","Food,bear,wine","Parade","Vendors","$21-50","$11-20","$21-50","$11-20","$6-10","$51-100","$51-100","$21-50","$6-10","Probably would not","0-2","T-25-29"
"189",191,191,14,0.25,NA,2,"Yes","Yes",3,5,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,10,16,14,10,20,2,37,37.4,13,"Burlington",2,"Some or graduated from community college",NA,"E-Reired","B-$60,000-$79,999","Stage shows","Parade","Food,bear,wine","Vendors","Carnival","$21-50","$6-10","$11-20","$11-20","$6-10","$11-20","$21-50","$21-50","$11-20","Probably would not","0-2",NA
"190",192,192,14,1.92,NA,1,"Yes","Yes",2,4,5,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,5.4,17.4,19,3.6,34,1,50,60,16,"Burlington",1,"Some or graduated from community college","E-60-69",NA,"D-$20,000-$39,999","Carnival","Food,bear,wine","Parade","Stage shows","Vendors","$21-50","$6-10","$11-20","$11-20","$0-5","$21-50","$21-50","$51-100","$11-20","Definitely would not","0-2","E-60-69"
"191",193,193,14,0.1,NA,2,"Yes","Yes",3,4,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,10,16,18,2.8,100,4,20,50,23,"Burlington",3,"Some or graduated from community college","A-40-49","X-Self employed","W-$40,000-$59,999","Stage shows","Food,bear,wine","Parade","Vendors","Carnival","$21-50","$6-10","$11-20","$11-20","$0-5","$51-100","$11-20","$21-50","$21-50","Probably would","3-5","A-40-49"
"192",194,194,14,1,NA,1,"Yes","Yes",5,3,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.25,10.6,12,15,2,43,1,62,50,56,"Burlington",1,"Some university","B-70 and older","X-Self employed","W-$40,000-$59,999","Parade","Stage shows","Vendors","Carnival","Food,bear,wine","$21-50","$11-20","$11-20","$11-20","$0-5","$21-50","$51-100","$21-50","$51-100","Definitely would not","0-2","B-70 and older"
"193",195,195,14,0.2,NA,1,"No","No",3,1,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,20,16,14,3.2,20,4,150,40.5821428571429,12,"Other",3,"Some or graduated from community college","A-40-49","B-Not employed outside of home","U-$100,000 and more","Stage shows","Vendors","Carnival","Food,bear,wine","Parade","$21-50","$11-20","$11-20","$11-20","$0-5","$11-20","$101-200","$21-50","$11-20","Probably would","3-5","A-40-49"
"194",196,196,14,0.2,NA,1,"Yes","Yes",5,3,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,11.4,15,18,4,30,5,70,70,17,"Burlington",3,"University graduate","G-50-59","H-Office worker","U-$100,000 and more","Parade","Stage shows","Food,bear,wine","Vendors","Carnival","$11-20","$11-20","$11-20","$11-20","$0-5","$21-50","$51-100","$51-100","$11-20","Definitely would","3-5","G-50-59"
"195",197,197,14,0.25,NA,1,"No","No",3,2,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.8,21,19,15,7.4,100,5,47,24,20,"Burlington",2,"Some or graduated from community college","D-30-39","D-Skilled labour","W-$40,000-$59,999","Stage shows","Carnival","Food,bear,wine","Parade","Vendors","$21-50","$21-50","$11-20","$11-20","$6-10","$51-100","$21-50","$21-50","$11-20","Definitely would","0-2","D-30-39"
"196",198,198,14,0.25,NA,2,"Yes","Yes",3,2,5,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,39.6,36,17,2.8,100,1,56,33,52,"Burlington",4,"High School or less","D-30-39","D-Skilled labour","U-$100,000 and more","Stage shows","Carnival","Parade","Vendors","Food,bear,wine","$21-50","$21-50","$21-50","$11-20","$0-5","$51-100","$51-100","$21-50","$51-100","Definitely would not","3-5","D-30-39"
"197",199,199,14,1,NA,2,"Yes","Yes",5,3,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.6,12.4,18,21,3.6,20,4,34,26.4,13,"Hamilton",2,"Some or graduated from community college","T-25-29","C-Other","D-$20,000-$39,999","Parade","Stage shows","Carnival","Vendors","Food,bear,wine","$11-20","$11-20","$11-20","$21-50","$0-5","$11-20","$21-50","$21-50","$11-20","Probably would","0-2","T-25-29"
"198",200,200,14,0.2,"One time",3,"No","No",3,4,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,12.6,11,18,4.2,40,3,80,100,9,"Hamilton",3,"Some or graduated from community college","D-30-39","D-Skilled labour","U-$100,000 and more","Stage shows","Food,bear,wine","Parade","Vendors","Carnival","$21-50","$11-20","$11-20","$11-20","$0-5","$21-50","$51-100","$51-100","$6-10","Might or might not","3-5","D-30-39"
"199",201,201,14,2,"Two times",2,"Yes","Yes",3,1,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.4,14,15,22,3.6,30,2,50,24,10,"Burlington",2,"Some or graduated from community college","V-20-24","C-Other","U-$100,000 and more","Stage shows","Vendors","Food,bear,wine","Carnival","Parade","$21-50","$11-20","$11-20","$21-50","$0-5","$21-50","$21-50","$21-50","$6-10","Probably would not","0-2","V-20-24"
"200",202,202,14,1,NA,2,"Yes","Yes",3,2,5,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,12.8,18,11,5,15,3,26,29,21,"Burlington",2,"Some or graduated from community college","E-60-69","Y-Professional","W-$40,000-$59,999","Stage shows","Carnival","Parade","Vendors","Food,bear,wine","$21-50","$11-20","$11-20","$11-20","$0-5","$11-20","$21-50","$21-50","$21-50","Might or might not","0-2","E-60-69"
"201",203,203,14,1,NA,2,"Yes","Yes",3,2,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,30,10,24,3.8,31,5,37,30,33,"Burlington",7,"High School or less","D-30-39","B-Not employed outside of home","L-$80,000-$99,999","Stage shows","Carnival","Food,bear,wine","Parade","Vendors","$21-50","$21-50","$6-10","$21-50","$0-5","$21-50","$21-50","$21-50","$21-50","Definitely would","6-8","D-30-39"
"202",204,204,15,1.5,"Two times",2,"Yes","Yes",3,4,2,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.75,2,14,17,2.6,40,5,57,38.4,16,"Burlington",4,"Some or graduated from community college","V-20-24","H-Office worker","D-$20,000-$39,999","Stage shows","Food,bear,wine","Carnival","Parade","Vendors","$11-20","$0-5","$11-20","$11-20","$0-5","$21-50","$51-100","$21-50","$11-20","Definitely would","3-5","V-20-24"
"203",205,205,15,4,NA,2,"Yes","Yes",3,5,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,45,30,24,5,400,5,29,20,25,"Other",2,"Some or graduated from community college","A-40-49","Y-Professional","B-$60,000-$79,999","Stage shows","Parade","Food,bear,wine","Vendors","Carnival","$21-50","$21-50","$21-50","$21-50","$0-5","$201-400","$21-50","$11-20","$21-50","Definitely would","0-2","A-40-49"
"204",206,206,15,0.1,NA,1,"Yes","Yes",3,4,4,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.4,11.4,15.5,24,4.8,10,2,35,11.2,16,"Burlington",1,NA,"E-60-69","E-Reired","G-$10,000-$19,999","Stage shows","Food,bear,wine","Food,bear,wine","Stage shows","Vendors","$21-50","$11-20","$11-20","$21-50","$0-5","$6-10","$21-50","$11-20","$11-20","Probably would not","0-2","E-60-69"
"205",207,207,15,2,NA,3,"Yes","Yes",3,2,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,8,29,2,2.4,50,2,34,15,9,"Hamilton",3,"Some or graduated from community college","D-30-39","D-Skilled labour","D-$20,000-$39,999","Stage shows","Carnival","Food,bear,wine","Parade","Vendors","$6-10","$6-10","$21-50","$0-5","$0-5","$21-50","$21-50","$11-20","$6-10","Probably would not","3-5","D-30-39"
"206",208,208,15,7,NA,1,"Yes","No",1,3,2,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,10,23,29,4.4,50,4,50,10,31,"Other",5,"University graduate","D-30-39","L-Managerial position","U-$100,000 and more","Vendors","Stage shows","Carnival","Parade","Food,bear,wine","$21-50","$6-10","$21-50","$21-50","$0-5","$21-50","$21-50","$6-10","$21-50","Probably would","3-5","D-30-39"
"207",209,209,15,4,"Three times",1,"Yes","Yes",3,5,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,9.5,16,16,5.8,20,5,21,10,13,"Burlington",1,"High School or less","G-50-59","X-Self employed","D-$20,000-$39,999","Stage shows","Parade","Food,bear,wine","Vendors","Carnival","$21-50","$6-10","$11-20","$11-20","$6-10","$11-20","$21-50","$6-10","$11-20","Definitely would","0-2","G-50-59"
"208",210,210,15,0.2,"One time",4,"Yes","No",2,3,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,11,9.4,11,2.2,40,4,54,30,18,"Burlington",4,"Some or graduated from community college","D-30-39","Y-Professional","L-$80,000-$99,999","Carnival","Stage shows","Parade","Food,bear,wine","Vendors","$11-20","$11-20","$6-10","$11-20","$0-5","$21-50","$51-100","$21-50","$11-20","Probably would","3-5","D-30-39"
"209",211,211,15,0.5,"Two times",1,"Yes","Yes",3,5,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4,6.9,10,11,3.4,10,1,55,23.6,31,"Burlington",1,"High School or less","E-60-69","E-Reired","W-$40,000-$59,999","Stage shows","Parade","Carnival","Vendors","Food,bear,wine","$11-20","$6-10","$6-10","$11-20","$0-5","$6-10","$51-100","$21-50","$21-50","Definitely would not","0-2","E-60-69"
"210",212,212,15,0.1,"One time",3,"No","No",3,2,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6,8.4,10,21,3,40,2,41,28,10,"Hamilton",3,"University graduate","D-30-39","L-Managerial position","L-$80,000-$99,999","Stage shows","Carnival","Vendors","Food,bear,wine","Parade","$11-20","$6-10","$6-10","$21-50","$0-5","$21-50","$21-50","$21-50","$6-10","Probably would not","3-5","D-30-39"
"211",213,213,15,0.5,"One time",2,"No","No",3,4,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,12,17,20,3.2,25,5,60,29,48,"Other",2,"Vocational training","G-50-59","L-Managerial position","U-$100,000 and more","Stage shows","Food,bear,wine","Vendors","Carnival","Parade","$21-50","$11-20","$11-20","$11-20","$0-5","$21-50","$51-100","$21-50","$21-50","Definitely would","0-2","G-50-59"
"212",214,214,15,2.5,"One time",2,"Yes","Yes",4,3,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,12,20,11,2,12,1,34,15,11,"Burlington",2,"High School or less","G-50-59","H-Office worker","G-$10,000-$19,999","Food,bear,wine","Stage shows","Parade","Vendors","Carnival","$21-50","$11-20","$11-20","$11-20","$0-5","$11-20","$21-50","$11-20","$11-20","Definitely would not","0-2","G-50-59"
"213",215,215,15,2.5,"One time",1,"Yes","Yes",3,4,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.2,5,9,18,3.6,20,1,15,2.5,11,"Burlington",1,"Some or graduated from community college","G-50-59","H-Office worker","D-$20,000-$39,999","Stage shows","Food,bear,wine","Parade","Vendors","Carnival","$11-20","$0-5","$6-10","$11-20","$0-5","$11-20","$11-20","$0-5","$11-20","Definitely would not","0-2","G-50-59"
"214",216,216,15,0.5,"One time",4,"No","No",3,5,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8,9.6,16,13,5.8,20,4,39,21,22,"Hamilton",4,"Some or graduated from community college","D-30-39",NA,"W-$40,000-$59,999","Stage shows","Parade","Vendors","Carnival","Food,bear,wine","$11-20","$6-10","$11-20","$11-20","$6-10","$11-20","$21-50","$21-50","$21-50","Probably would","3-5","D-30-39"
"215",217,217,15,0.5,"One time",1,"No","No",4,2,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.6,24,11.4,12,2.6,20,1,75,39,13,"Burlington",4,"High School or less","F-16-19","O-Student full time","U-$100,000 and more","Food,bear,wine","Carnival","Vendors","Stage shows","Parade","$21-50","$21-50","$11-20","$11-20","$0-5","$11-20","$51-100","$21-50","$11-20","Definitely would not","3-5","F-16-19"
"216",218,218,15,0.5,"One time",2,"Yes","No",3,2,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,6.2,14,14,2.2,20,2,24,10,21,"Burlington",2,"Some graduate school or graduate degree","V-20-24","H-Office worker","G-$10,000-$19,999","Stage shows","Carnival","Food,bear,wine","Vendors","Parade","$21-50","$6-10","$11-20","$11-20","$0-5","$11-20","$21-50","$6-10","$21-50","Probably would not","0-2","V-20-24"
"217",219,219,15,1,"Two times",1,"Yes","Yes",3,5,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,20,32.2,28,30,75,5,44,21,11,"Burlington",1,"High School or less","G-50-59","G-Unemployed","W-$40,000-$59,999","Stage shows","Parade","Vendors","Carnival","Food,bear,wine","$21-50","$11-20","$21-50","$21-50","$21-50","$51-100","$21-50","$21-50","$11-20","Definitely would","0-2","G-50-59"
"218",220,220,15,1,"One time",2,"Yes","Yes",3,4,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,30,33,2,3,200,5,100,50,34,"Burlington",3,"University graduate","A-40-49","L-Managerial position","U-$100,000 and more","Stage shows","Food,bear,wine","Stage shows","Vendors","Carnival","$21-50","$21-50","$21-50","$0-5","$0-5","$101-200","$51-100","$21-50","$21-50","Definitely would","3-5","A-40-49"
"219",221,221,15,1,NA,2,"Yes","No",3,4,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.4,5.6,2,14,2.4,30,2,44,1,13,"Burlington",2,"Some or graduated from community college","A-40-49","Y-Professional","B-$60,000-$79,999","Stage shows","Food,bear,wine","Carnival","Vendors","Parade","$11-20","$6-10","$0-5","$11-20","$0-5","$21-50","$21-50","$0-5","$11-20","Probably would not","0-2","A-40-49"
"220",222,222,15,0.1,"Two times",3,"Yes","Yes",5,2,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,9.9,16,11,3.6,5,4,39,35,11,"Burlington",3,"Some or graduated from community college","E-60-69","E-Reired","R-Less than 10,000","Parade","Carnival","Stage shows","Vendors","Food,bear,wine","$21-50","$6-10","$11-20","$11-20","$0-5","$0-5","$21-50","$21-50","$11-20","Probably would","3-5","E-60-69"
"221",223,223,15,1,"One time",2,"Yes","Yes",3,5,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,12,38,8,2,100,5,24,29.8,28,"Burlington",2,"High School or less","G-50-59","D-Skilled labour","W-$40,000-$59,999","Stage shows","Parade","Food,bear,wine","Vendors","Carnival","$21-50","$11-20","$21-50","$6-10","$0-5","$51-100","$21-50","$21-50","$21-50","Definitely would","0-2","G-50-59"
"222",224,224,15,0.25,"One time",4,"Yes","Yes",5,2,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,13.8,19,15,8,40,3,50,20,18,"Burlington",5,"University graduate","D-30-39","B-Not employed outside of home","B-$60,000-$79,999","Parade","Carnival","Stage shows","Vendors","Food,bear,wine","$21-50","$11-20","$11-20","$11-20","$6-10","$21-50","$21-50","$11-20","$11-20","Might or might not","3-5","D-30-39"
"223",225,225,15,1,"One time",1,"No","Yes",3,1,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,18.6,26,15,3.8,50,1,39,16.5,16,"Burlington",1,"Some or graduated from community college","E-60-69","B-Not employed outside of home","W-$40,000-$59,999","Stage shows","Vendors","Parade","Carnival","Food,bear,wine","$21-50","$11-20","$21-50","$11-20","$0-5","$21-50","$21-50","$11-20","$11-20","Definitely would not","0-2","E-60-69"
"224",226,226,15,0.5,"One time",2,"No","No",3,1,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6,1,12.6,9,2.4,5,2,35,76,19,"Hamilton",3,"High School or less","G-50-59","B-Not employed outside of home","B-$60,000-$79,999","Stage shows","Vendors","Food,bear,wine","Carnival","Parade","$11-20","$0-5","$11-20","$6-10","$0-5","$0-5","$21-50","$51-100","$11-20","Probably would not","3-5","G-50-59"
"225",227,227,15,0.2,"Two times",4,"Yes","Yes",3,2,5,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,11.8,25.5,10,3.8,50,4,45,36,24,"Burlington",4,"Some or graduated from community college","D-30-39","H-Office worker","L-$80,000-$99,999","Stage shows","Carnival","Parade","Vendors","Food,bear,wine","$21-50","$11-20","$21-50","$6-10","$0-5","$21-50","$21-50","$21-50","$21-50","Probably would","3-5","D-30-39"
"226",228,228,15,0.2,"One time",4,"Yes","Yes",3,2,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,19.4,15,27,5,50,1,50,42,29,"Burlington",4,"University graduate","G-50-59","X-Self employed","U-$100,000 and more","Stage shows","Carnival","Food,bear,wine","Vendors","Parade","$21-50","$11-20","$11-20","$21-50","$0-5","$21-50","$21-50","$21-50","$21-50","Definitely would not","3-5","G-50-59"
"227",229,229,15,1,"One time",1,"Yes","Yes",5,3,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.6,16.5,17.7,14,2.6,20,1,200,30,12,"Burlington",3,"Some or graduated from community college","G-50-59","A-Teacher","U-$100,000 and more","Parade","Stage shows","Vendors","Food,bear,wine","Carnival","$21-50","$11-20","$11-20","$11-20","$0-5","$11-20","$101-200","$21-50","$11-20","Definitely would not","3-5","G-50-59"
"228",230,230,15,1,"One time",2,"Yes","Yes",5,3,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,12,8,14,2,20,2,55,22,11,"Burlington",6,"Vocational training","A-40-49","D-Skilled labour","D-$20,000-$39,999","Parade","Stage shows","Carnival","Carnival","Stage shows","$11-20","$11-20","$6-10","$11-20","$0-5","$11-20","$51-100","$21-50","$11-20","Probably would not","6-8","A-40-49"
"229",231,231,15,1,"Two times",5,"Yes","No",3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,9.8,20.4,10,8.8,56,5,140,10,14,"Burlington",2,"High School or less","T-25-29","C-Other","W-$40,000-$59,999","Stage shows","Stage shows","Stage shows","Stage shows","Stage shows","$21-50","$6-10","$21-50","$6-10","$6-10","$51-100","$101-200","$6-10","$11-20","Definitely would","0-2","T-25-29"
"230",232,232,15,0.1,"One time",6,"No","No",3,2,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,24.4,21,19,3.2,100,5,66,50,33,"Burlington",5,"Some university","V-20-24","L-Managerial position","U-$100,000 and more","Stage shows","Carnival","Food,bear,wine","Parade","Vendors","$21-50","$21-50","$21-50","$11-20","$0-5","$51-100","$51-100","$21-50","$21-50","Definitely would","3-5","V-20-24"
"231",233,233,15,0.25,"One time",2,"No","No",3,4,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.75,5,12.2,15,2.2,10,2,42,32,11,"Burlington",2,"Some graduate school or graduate degree","D-30-39","Y-Professional","B-$60,000-$79,999","Stage shows","Food,bear,wine","Vendors","Parade","Carnival","$11-20","$0-5","$11-20","$11-20","$0-5","$6-10","$21-50","$21-50","$11-20","Probably would not","0-2","D-30-39"
"232",234,234,15,3.5,"One time",3,"Yes","Yes",3,2,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,12,21,17,3.8,50,2,22,13,24,"Burlington",6,"High School or less","F-16-19","O-Student full time","W-$40,000-$59,999","Stage shows","Carnival","Vendors","Food,bear,wine","Parade","$21-50","$11-20","$21-50","$11-20","$0-5","$21-50","$21-50","$11-20","$21-50","Probably would not","6-8","F-16-19"
"233",235,235,15,3.5,"One time",1,"No","No",3,2,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,8,12.8,10,2,30,2,50,27,36,"Burlington",5,"High School or less","F-16-19","O-Student full time","L-$80,000-$99,999","Stage shows","Carnival","Vendors","Food,bear,wine","Parade","$11-20","$6-10","$11-20","$6-10","$0-5","$21-50","$21-50","$21-50","$21-50","Probably would not","3-5","F-16-19"
"234",236,236,15,1.5,"One time",1,"Yes","Yes",3,3,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.6,1,14,9,4.2,1,2,47,54,10,"Burlington",2,"University graduate","E-60-69","E-Reired","B-$60,000-$79,999","Stage shows","Stage shows","Carnival","Carnival","Stage shows","$21-50","$0-5","$11-20","$6-10","$0-5","$0-5","$21-50","$51-100","$6-10","Probably would not","0-2","E-60-69"
"235",237,237,15,1.5,"One time",3,"Yes","Yes",3,5,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,13,16,21,1,40,5,26,39,14,"Burlington",3,"Some or graduated from community college","D-30-39","D-Skilled labour","D-$20,000-$39,999","Stage shows","Parade","Carnival","Vendors","Food,bear,wine","$11-20","$11-20","$11-20","$21-50","$0-5","$21-50","$21-50","$21-50","$11-20","Definitely would","3-5","D-30-39"
"236",238,238,15,0.1,"One time",3,"No","Yes",3,5,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,12,16,22,8.4,100,3,100,100,15,"Burlington",3,"University graduate","A-40-49","H-Office worker","B-$60,000-$79,999","Stage shows","Parade","Food,bear,wine","Vendors","Carnival","$21-50","$11-20","$11-20","$21-50","$6-10","$51-100","$51-100","$51-100","$11-20","Might or might not","3-5","A-40-49"
"237",239,239,15,0.1,"Two times",4,"No","Yes",3,4,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.4,12.2,15,15,3,20,4,76,39,25,"Burlington",5,"University graduate","A-40-49","A-Teacher","U-$100,000 and more","Stage shows","Food,bear,wine","Vendors","Parade","Carnival","$11-20","$11-20","$11-20","$11-20","$0-5","$11-20","$51-100","$21-50","$21-50","Probably would","3-5","A-40-49"
"238",240,240,15,1,"Two times",6,"Yes","No",3,5,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,100,25,50,5,400,5,100,42,53,"Burlington",4,"University graduate","A-40-49","Y-Professional","U-$100,000 and more","Stage shows","Parade","Food,bear,wine","Carnival","Vendors","$21-50","$51-100","$21-50","$21-50","$0-5","$201-400","$51-100","$21-50","$51-100","Definitely would","3-5","A-40-49"
"239",241,241,15,0.1,"One time",1,"Yes","Yes",1,4,3,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,11.6,8.4,13,3,30,2,42,20,17,"Burlington",3,"Some graduate school or graduate degree","T-25-29","A-Teacher","B-$60,000-$79,999","Vendors","Food,bear,wine","Stage shows","Carnival","Parade","$11-20","$11-20","$6-10","$11-20","$0-5","$21-50","$21-50","$11-20","$11-20","Probably would not","3-5","T-25-29"
"240",242,242,15,2,"One time",3,"Yes","Yes",5,3,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,19.3,13,2.8,20,3,50,46,30,"Burlington",3,NA,"G-50-59","C-Other","B-$60,000-$79,999","Parade","Stage shows","Vendors","Carnival","Food,bear,wine","$0-5","$0-5","$11-20","$11-20","$0-5","$11-20","$21-50","$21-50","$21-50","Might or might not","3-5","G-50-59"
"241",243,243,15,2,"Two times",5,"No","Yes",3,5,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,8.6,18,10,3.4,50,4,51,74,30,"Burlington",2,"High School or less","G-50-59","C-Other","L-$80,000-$99,999","Stage shows","Parade","Food,bear,wine","Vendors","Carnival","$21-50","$6-10","$11-20","$6-10","$0-5","$21-50","$51-100","$51-100","$21-50","Probably would","0-2","G-50-59"
"242",244,244,15,2,"Two times",2,"Yes","Yes",3,4,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,15.6,10,19,4,40,4,30,10,10,"Hamilton",3,"High School or less","G-50-59","M-Sales position","D-$20,000-$39,999","Stage shows","Food,bear,wine","Vendors","Parade","Carnival","$11-20","$11-20","$6-10","$11-20","$0-5","$21-50","$21-50","$6-10","$6-10","Probably would","3-5","G-50-59"
"243",245,245,15,0.25,"One time",2,"No","No",3,4,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4,22.6,16.4,10,2.2,10,1,20,20,9,"Burlington",2,"Some university","G-50-59","Y-Professional","B-$60,000-$79,999","Stage shows","Food,bear,wine","Vendors","Carnival","Parade","$11-20","$21-50","$11-20","$6-10","$0-5","$6-10","$11-20","$11-20","$6-10","Definitely would not","0-2","G-50-59"
"244",246,246,15,0.5,"One time",1,"Yes","Yes",4,3,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,20,20,37,3.6,100,2,134,30,48,"Burlington",5,"High School or less","F-16-19","O-Student full time","U-$100,000 and more","Food,bear,wine","Stage shows","Carnival","Vendors","Parade","$21-50","$11-20","$11-20","$21-50","$0-5","$51-100","$101-200","$21-50","$21-50","Probably would not","3-5","F-16-19"
"245",247,247,15,1.5,"Two times",4,"Yes","Yes",3,4,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,16,17,15,10,20,4,47,27,44,"Burlington",2,"Some or graduated from community college","E-60-69","B-Not employed outside of home","L-$80,000-$99,999","Stage shows","Food,bear,wine","Parade","Vendors","Carnival","$51-100","$11-20","$11-20","$11-20","$6-10","$11-20","$21-50","$21-50","$21-50","Probably would","0-2","E-60-69"
"246",248,248,15,0.1,"One time",2,"Yes","Yes",3,4,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.95,12.4,20,13,4.8,20,5,94,80,19,"Burlington",4,"University graduate","G-50-59","A-Teacher","U-$100,000 and more","Stage shows","Food,bear,wine","Carnival","Carnival","Stage shows","$11-20","$11-20","$11-20","$11-20","$0-5","$11-20","$51-100","$51-100","$11-20","Definitely would","3-5","G-50-59"
"247",249,249,15,1.5,"One time",2,"No","Yes",3,5,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,7.6,16,10,4.8,20,2,25,30,10,"Burlington",3,"University graduate","G-50-59","Y-Professional","W-$40,000-$59,999","Stage shows","Parade","Vendors","Carnival","Food,bear,wine","$21-50","$6-10","$11-20","$6-10","$0-5","$11-20","$21-50","$21-50","$6-10","Probably would not","3-5","G-50-59"
